page,name,link,thumbnail,rating,date,snippet,images,local_guide
2,Adi Noor Fajarudin,https://www.google.com/maps/contrib/109021980487117749351?hl=id,https://lh3.googleusercontent.com/a-/ALV-UjVdQDDTcQKjLTLxc2vvQNItwEW6Sb5SybpDa9F3hyLSIg2zsYoiOA=s120-c-rp-mo-br100,5.0,2 tahun lalu,"Mantap,, Kampus Teknologi dan Bisnis Energi Unggulan","['https://lh5.googleusercontent.com/p/AF1QipM44U_UsQx-hrf3WAh60hc1nUqMa4M6CYzyzlFl=w150-h150-k-no-p', 'https://lh5.googleusercontent.com/p/AF1QipNFha7Ar0e0poF6rtDL_W8hqDqDH88QfvdRfNSk=w150-h150-k-no-p', 'https://lh5.googleusercontent.com/p/AF1QipNQ-D7UH7er0vWqZIgJSZwRYa7RkvKjF1fXmKTr=w150-h150-k-no-p', 'https://lh5.googleusercontent.com/p/AF1QipMf6YTVkOXa6G2P-ohtwAtIt3RhnM8Cj3ZQR0tP=w150-h150-k-no-p', 'https://lh5.googleusercontent.com/p/AF1QipMjTc52Vf5AB2vCnsjpcKXJcDStIoA51ypwcyeO=w150-h150-k-no-p']",
2,T. Tasqa Alaidin,https://www.google.com/maps/contrib/103468920031755993166?hl=id,https://lh3.googleusercontent.com/a-/ALV-UjVoJNLlJ2s9ynLiI1gjEln0e--008ftSb-xH1RUJYbfEtSAbZ-m=s120-c-rp-mo-ba5-br100,5.0,6 tahun lalu,Pertamina University salah satu universitas paling banyak berkontribusi untuk negeri. Jayalah selalu.,"['https://lh5.googleusercontent.com/p/AF1QipOvt9uFYqJM9mMoNooqyOYwOl2DoeaM7spjDyfc=w150-h150-k-no-p', 'https://lh5.googleusercontent.com/p/AF1QipNr3UCRy605R38kvXKXUnETJTCdpVsjX3cdO1nd=w150-h150-k-no-p', 'https://lh5.googleusercontent.com/p/AF1QipOF7Ys-OEKHdGrPGRN9wefs96PAJNSP-dL9yvnr=w150-h150-k-no-p', 'https://lh5.googleusercontent.com/p/AF1QipM7wRYpqsqWVghzn1l-7Rh1gnb1kH5Sd6_AleWT=w150-h150-k-no-p', 'https://lh5.googleusercontent.com/p/AF1QipOyfT9M1FHPBxdCQXsu15N3SFb8Zeq3BZn8Nboq=w150-h150-k-no-p']",True
2,Tedi suresep,https://www.google.com/maps/contrib/109923806608012604023?hl=id,https://lh3.googleusercontent.com/a/ACg8ocJZqaW4GKWGXjJqfl5HtD4xdwaSCWtbJVdIawCdSoN6goDN1Q=s120-c-rp-mo-br100,1.0,setahun lalu,"kampus kebanyakan korup spp mahal tapi kursi kuliah yang ada mejanya udah banyak yang ga layak pakai , kantinnya jorok, fasilitas lab ga lengkap",,
2,Vico Glessida,https://www.google.com/maps/contrib/101368017240036642514?hl=id,https://lh3.googleusercontent.com/a-/ALV-UjUvpRD0UHIBvcpoGqfbZUEkv7tImwo4eexzR_w1mKallJd3QaEH=s120-c-rp-mo-br100,1.0,setahun lalu,"Pelayanan front liner tidak baik, tidak responsif, tidak ada senyum sama sekali. Minimal memilih kandidat utk frontliner yg murah senyum dan enak dilihat. saya follow up via telp juga tidak ada yg angkat dan tdk ada kejelasan. semoga kritikan ini bisa membangun Univ. Pertamina. krn sayang sekali kampus bergengsi tp pelayanan garda terdepan tidak memumpuni. trms",,True
2,Maria Princilla,https://www.google.com/maps/contrib/104053703684377340778?hl=id,https://lh3.googleusercontent.com/a-/ALV-UjUgNRLHvLd1B41PIgiKYh_fYLyJ3AOHW6182ctQhGhQtfG9e6Q=s120-c-rp-mo-ba3-br100,5.0,2 tahun lalu,"Lingkungannya bagus dan tertata rapi. Fasilitas umum untuk universitas juga terjada dengan baik dan diawasi oleh pengaman/satpam dengan baik juga
Dapat mengetahui beberapa tempat secara efisien dgn bisa bertanya kepada petugas keamanan",,True
2,Hamda Alfansuri,https://www.google.com/maps/contrib/101568103214212880144?hl=id,https://lh3.googleusercontent.com/a-/ALV-UjVe5Ool4dzMPokUMSx5FZFRzQ56QpCGsZ3ZatBD5WRkz4wuzYbw=s120-c-rp-mo-ba3-br100,5.0,2 tahun lalu,"Sehari-hari kuliah di sini, tempatnya nyaman. Buat pengunjung umum bisa dengan mudah menemukan mushalla dan toilet dibagian depan. Satu kawasan dengan ruang pertemuan, kolam renang, dan kawasan RS khusus covid. Tempatnya aman dengan pengawasan yang baik.",,True
2,Arif Mansyuri,https://www.google.com/maps/contrib/100859711350241742561?hl=id,https://lh3.googleusercontent.com/a-/ALV-UjVWTIXafnuwhNHapMV3VGfsSEiqXIyO6eNaJa-jjMP17TvIMNTL1Q=s120-c-rp-mo-ba8-br100,5.0,5 tahun lalu,"Universitas Yang Berada Dipusat Ibukota Jakarta...
Mencetak Pribadi Mahasiswa Yang Mumpuni dan Unggul dalam Segala Bidang...",['https://lh5.googleusercontent.com/p/AF1QipM50bn5NZDCTZAjQ79jqpvfg8STMWXUXwBgOfJA=w150-h150-k-no-p'],True
2,sushii motto,https://www.google.com/maps/contrib/108862125162739529280?hl=id,https://lh3.googleusercontent.com/a-/ALV-UjXHN6AHOqnEZkNO9rWd0p7EGw_W33q5YfJ1SooPA2Fc7VdqlSc=s120-c-rp-mo-ba5-br100,4.0,2 bulan lalu,Di dalemnya ternyata luas,,True
3,herman sulaeman,https://www.google.com/maps/contrib/112879701495015882141?hl=id,https://lh3.googleusercontent.com/a-/ALV-UjW_wTcMJZjeYsPUBhhGoK99wt5c6vE1RGauIY-wJIdkMni0o4US2g=s120-c-rp-mo-ba6-br100,5.0,6 tahun lalu,"Fasilitas cukup bagus, dosen-dosen juga terpercaya karena sebagian pengajar dari Universitas yang ternama di Indonesia, pilihan jurusan variatif, semoga menjadi kampus yang dapat menyumbang para ilmuwan untuk kemajuan bangsa Indonesia...",,True
3,Yani Tri Ali,https://www.google.com/maps/contrib/109887288233274992257?hl=id,https://lh3.googleusercontent.com/a-/ALV-UjXMM8ldghWsS5fguxWFGFBxLHzx7UGjjSJTcZAj-QQe2c7jcVocaA=s120-c-rp-mo-ba5-br100,5.0,3 tahun lalu,Suasana kampus yg nyaman dan asri. Tenang utk belajar,"['https://lh5.googleusercontent.com/p/AF1QipOYD9OGgAnMvN6MZ3rvys5Poy6_fVGJHRESDVv5=w150-h150-k-no-p', 'https://lh5.googleusercontent.com/p/AF1QipOEdzFsBwR0Uz5KwcFmiOZNBWeypppRPOSrtupf=w150-h150-k-no-p']",True
